city,colonia,point_kind,lat,lon,bbox_min_lat,bbox_min_lon,bbox_max_lat,bbox_max_lon,bbox_span_lat_deg,bbox_span_lon_deg,n_samples
gdl,Italia Providencia,centroid,20.693755,-103.378645,20.690754,-103.380651,20.696832,-103.376775,0.006078,0.003875,28
gdl,Chapultepec Country,centroid,20.695696,-103.367714,20.694775,-103.369626,20.697231,-103.365969,0.002456,0.003657,26
gdl,Jardines de Los Arcos,centroid,20.669181,-103.394288,20.667131,-103.397963,20.670882,-103.390573,0.00375,0.00739,17
gdl,Mezquitán,centroid,20.697209,-103.354524,20.691773,-103.357434,20.699291,-103.352073,0.007518,0.005361,26
gdl,La Penal,centroid,20.667248,-103.312732,20.663658,-103.316966,20.669788,-103.306255,0.006129,0.010711,14
gdl,San Rafael,centroid,20.653707,-103.296158,20.652649,-103.298,20.655298,-103.294268,0.002649,0.003731,7
gdl,Observatorio,centroid,20.698262,-103.351115,20.698262,-103.351115,20.698262,-103.351115,0.0,0.0,5
gdl,La Aurora,centroid,20.653436,-103.342423,20.649971,-103.349609,20.659699,-103.336859,0.009728,0.01275,18
gdl,Del Bosque,centroid,20.652864,-103.387213,20.65162,-103.387653,20.654587,-103.386762,0.002966,0.000892,10
gdl,Colinas de San Javier,centroid,20.700681,-103.399593,20.692453,-103.406184,20.709991,-103.394722,0.017538,0.011462,22
gdl,Lomas de Independencia,centroid,20.716673,-103.328301,20.713624,-103.329875,20.717237,-103.325502,0.003613,0.004373,22
gdl,Rancho Nuevo,centroid,20.717271,-103.331499,20.714239,-103.336934,20.720501,-103.327745,0.006262,0.009189,12
gdl,Atlas,centroid,20.644538,-103.327978,20.643456,-103.32847,20.647238,-103.326749,0.003782,0.001721,7
gdl,Villas de San Juan,centroid,20.708457,-103.334616,20.708457,-103.334616,20.708457,-103.334616,0.0,0.0,1
gdl,Margarita Maza de Juárez,centroid,20.712371,-103.304301,20.712351,-103.304334,20.712532,-103.304034,0.000181,0.0003,9
gdl,Nueva España,centroid,20.61355,-103.395151,20.61342,-103.395454,20.614832,-103.392177,0.001412,0.003277,22
gdl,San Juan Bosco,centroid,20.678292,-103.31665,20.677681,-103.321702,20.679044,-103.310824,0.001364,0.010878,5
gdl,Circunvalación Vallarta,centroid,20.681999,-103.383851,20.680643,-103.38539,20.68274,-103.383117,0.002097,0.002274,15
gdl,Sutaj,centroid,20.651514,-103.313857,20.650842,-103.314097,20.652778,-103.313631,0.001936,0.000466,8
gdl,Las Conchas,centroid,20.662384,-103.340941,20.661551,-103.34298,20.663218,-103.338901,0.001667,0.004079,2
gdl,Huentitán El Bajo,centroid,20.736118,-103.313561,20.728381,-103.319464,20.738656,-103.311953,0.010275,0.007511,15
gdl,El Rosario,centroid,20.638685,-103.329092,20.633775,-103.340029,20.648505,-103.323623,0.014731,0.016406,3
gdl,La Perla,centroid,20.680892,-103.334635,20.680892,-103.334635,20.680892,-103.334635,0.0,0.0,1
gdl,Jardines de La Paz,centroid,20.646506,-103.301194,20.644932,-103.306154,20.648079,-103.296234,0.003147,0.009919,4
gdl,Jardines del Sauz,centroid,20.625658,-103.394272,20.624312,-103.394689,20.627004,-103.393855,0.002692,0.000835,2
gdl,Juan Manuel,centroid,20.679863,-103.391707,20.679309,-103.392691,20.681977,-103.391222,0.002668,0.001469,20
gdl,Huentitán El Alto,centroid,20.718558,-103.297188,20.714487,-103.302574,20.721148,-103.294742,0.006661,0.007832,10
gdl,Jardines del Rosario,centroid,20.635704,-103.324454,20.635704,-103.324454,20.635704,-103.324454,0.0,0.0,2
gdl,Lomas de Guevara,centroid,20.688834,-103.3828,20.687444,-103.384512,20.691055,-103.379504,0.003611,0.005008,16
gdl,Santa Eduwiges,centroid,20.639594,-103.394384,20.637979,-103.395547,20.641469,-103.391966,0.00349,0.003581,4
gdl,Vallarta,centroid,20.673127,-103.38595,20.670768,-103.386461,20.674345,-103.385284,0.003576,0.001177,7
gdl,Monumental,centroid,20.702866,-103.324076,20.701933,-103.325037,20.70453,-103.322767,0.002597,0.002269,9
gdl,Real,centroid,20.668359,-103.330456,20.666582,-103.331185,20.669543,-103.329969,0.00296,0.001216,5
gdl,El Rastro,centroid,20.625945,-103.348158,20.625944,-103.348161,20.625947,-103.348153,2e-06,8e-06,5
gdl,Oblatos,centroid,20.675773,-103.320795,20.672564,-103.326357,20.694502,-103.296653,0.021938,0.029705,10
gdl,Oblatos,bbox_quadrant,20.678048,-103.318931,20.672564,-103.326357,20.694502,-103.296653,0.021938,0.029705,10
gdl,Oblatos,bbox_quadrant,20.678048,-103.304079,20.672564,-103.326357,20.694502,-103.296653,0.021938,0.029705,10
gdl,Oblatos,bbox_quadrant,20.689017,-103.318931,20.672564,-103.326357,20.694502,-103.296653,0.021938,0.029705,10
gdl,Oblatos,bbox_quadrant,20.689017,-103.304079,20.672564,-103.326357,20.694502,-103.296653,0.021938,0.029705,10
gdl,Dr. Valentín Gómez Farías,centroid,20.623141,-103.377359,20.622703,-103.38009,20.623287,-103.376448,0.000584,0.003642,4
gdl,Mirador,centroid,20.682319,-103.31936,20.682141,-103.32141,20.682408,-103.318336,0.000267,0.003075,3
gdl,Santa Rita,centroid,20.680684,-103.401949,20.680278,-103.403082,20.680819,-103.39855,0.000541,0.004532,4
gdl,San Antonio,centroid,20.661469,-103.306587,20.661469,-103.306587,20.661469,-103.306587,0.0,0.0,1
gdl,San Juan de Dios II,centroid,20.669484,-103.336427,20.669484,-103.336427,20.669484,-103.336427,0.0,0.0,14
gdl,El Dean,centroid,20.636916,-103.351099,20.636916,-103.351099,20.636916,-103.351099,0.0,0.0,3
gdl,Mexicaltzingo,centroid,20.667719,-103.349427,20.666358,-103.351583,20.66853,-103.346852,0.002173,0.004731,7
gdl,Centro,centroid,20.687191,-103.351113,20.686613,-103.352877,20.687919,-103.349986,0.001306,0.002891,7
gdl,Terranova,centroid,20.680778,-103.388772,20.679556,-103.389596,20.682297,-103.387155,0.002742,0.002441,4
gdl,La Guadalupana,centroid,20.713302,-103.354486,20.713302,-103.354486,20.713302,-103.354486,0.0,0.0,2
gdl,Lomas de San Eugenio,centroid,20.683877,-103.286672,20.683304,-103.288248,20.684392,-103.285303,0.001089,0.002945,8
gdl,El Verde (Planetario),centroid,20.719899,-103.306514,20.717586,-103.315484,20.721084,-103.303977,0.003498,0.011507,8
gdl,Magaña,centroid,20.658109,-103.316845,20.658109,-103.316845,20.658109,-103.316845,0.0,0.0,3
gdl,Jardines del Sur,centroid,20.633972,-103.392742,20.631939,-103.395292,20.634839,-103.390271,0.002901,0.005022,11
gdl,Vallarta Poniente,centroid,20.673144,-103.389681,20.671794,-103.39693,20.674449,-103.387788,0.002655,0.009142,17
gdl,Popular Hornos,centroid,20.642869,-103.283658,20.642869,-103.283658,20.642869,-103.283658,0.0,0.0,1
gdl,Jardines de Los Poetas,centroid,20.649051,-103.292262,20.64825,-103.294838,20.650645,-103.289548,0.002395,0.005289,10
gdl,Quinta Velarde,centroid,20.655846,-103.336034,20.654639,-103.336297,20.656188,-103.335918,0.00155,0.000379,5
gdl,Tetlán,centroid,20.662165,-103.271039,20.662165,-103.271039,20.662165,-103.271039,0.0,0.0,2
gdl,Reforma,centroid,20.670806,-103.335181,20.670563,-103.335973,20.671228,-103.334599,0.000665,0.001374,7
gdl,Barragán Hernández,centroid,20.663624,-103.341417,20.662637,-103.347454,20.666114,-103.339178,0.003476,0.008277,10
gdl,Lomas del Paraíso I,centroid,20.722898,-103.319815,20.722352,-103.321195,20.723443,-103.318436,0.001091,0.002759,2
gdl,Lomas del Paraíso III,centroid,20.731841,-103.318644,20.727938,-103.322346,20.732899,-103.316907,0.004961,0.005438,7
gdl,El Manantial,centroid,20.623568,-103.346957,20.623568,-103.346957,20.623568,-103.346957,0.0,0.0,4
gdl,Independencia,centroid,20.703906,-103.329045,20.700808,-103.333902,20.707733,-103.32438,0.006925,0.009522,7
gdl,San Rafael Residencial,centroid,20.650236,-103.293045,20.650236,-103.293045,20.650236,-103.293045,0.0,0.0,1
gdl,Santos Degollado,centroid,20.665302,-103.30402,20.665302,-103.30402,20.665302,-103.30402,0.0,0.0,2
gdl,Rincón de La Agua Azul,centroid,20.649822,-103.352899,20.649822,-103.352899,20.649822,-103.352899,0.0,0.0,1
gdl,El Sauz,centroid,20.626968,-103.391785,20.626248,-103.392555,20.627688,-103.391016,0.00144,0.001539,2
gdl,Niños Héroes,centroid,20.70292,-103.360336,20.701387,-103.361586,20.704596,-103.357879,0.003208,0.003707,11
gdl,Lagos de Oriente,centroid,20.672676,-103.271405,20.671891,-103.271983,20.673069,-103.270248,0.001178,0.001734,3
gdl,San Miguel de Mezquitán,centroid,20.701863,-103.355961,20.69934,-103.357217,20.704448,-103.354205,0.005108,0.003012,5
gdl,López Portillo,centroid,20.620171,-103.367837,20.620171,-103.367837,20.620171,-103.367837,0.0,0.0,1
gdl,Hormiguero,centroid,20.651443,-103.30259,20.651443,-103.30259,20.651443,-103.30259,0.0,0.0,1
gdl,Bosques de La Victoria,centroid,20.646356,-103.393076,20.645077,-103.394306,20.649609,-103.391576,0.004532,0.00273,4
gdl,Villa Guerrero,centroid,20.630497,-103.387637,20.630497,-103.387637,20.630497,-103.387637,0.0,0.0,1
gdl,Fovissste Estadio,centroid,20.711497,-103.327021,20.711497,-103.327021,20.711497,-103.327021,0.0,0.0,1
